"","NULL.","NULL.GP","NULL.GS","NULL.MP","NULL.G","NULL.S","NULL.SOT","NULL.A","NULL.TKL","NULL.YC","NULL.RC","NULL.FC","NULL.FS","team.x","season.x","UID","players.val[nr.name, 2]","Market.value","team.y","season.y","players.val[nr.pos, 1]"
"598","Ryan Taylor","14","11","907","0","16","6","1","10","3","0","8","15","newcastle-united","2014","Ryan Taylor 2014","Ryan Taylor","2,00 Mill. €","newcastle-united","2014","Right-Back"
"599","Steven Taylor","10","7","653","1","5","1","0","6","2","1","6","5","newcastle-united","2014","Steven Taylor 2014","Steven Taylor","3,50 Mill. €","newcastle-united","2014","Centre Back"
"600","Cheick Tioté","11","10","898","0","9","1","2","28","5","0","24","10","newcastle-united","2014","Cheick Tioté 2014",NA,NA,NA,NA,NA
"601","Haris Vuckic","1","0","8","0","0","0","0","0","0","0","0","0","newcastle-united","2014","Haris Vuckic 2014","Haris Vuckic","1,00 Mill. €","newcastle-united","2014","Attacking Midfield"
"602","Mike Williamson","31","27","2415","1","10","2","1","18","5","2","16","17","newcastle-united","2014","Mike Williamson 2014","Mike Williamson","3,50 Mill. €","newcastle-united","2014","Centre Back"
"603","Gabriel Agbonlahor","34","30","2693","6","54","18","1","21","7","1","42","58","aston-villa","2014","Gabriel Agbonlahor 2014","Gabriel Agbonlahor","6,50 Mill. €","aston-villa","2014","Centre Forward"
"604","Leandro Bacuna","19","10","981","0","17","3","5","12","1","0","15","6","aston-villa","2014","Leandro Bacuna 2014","Leandro Bacuna","2,50 Mill. €","aston-villa","2014","Right Midfield"
"605","Nathan Baker","11","8","763","0","5","0","0","4","0","0","8","1","aston-villa","2014","Nathan Baker 2014","Nathan Baker","2,50 Mill. €","aston-villa","2014","Centre Back"
"606","Darren Bent","7","0","78","0","1","0","0","0","0","0","0","1","aston-villa","2014","Darren Bent 2014","Darren Bent","5,00 Mill. €","aston-villa","2014","Centre Forward"
"607","Christian Benteke","29","26","2380","13","79","30","2","23","1","1","41","24","aston-villa","2014","Christian Benteke 2014","Christian Benteke","18,00 Mill. €","aston-villa","2014","Centre Forward"
"608","Aly Cissokho","25","24","2131","0","8","0","0","24","1","0","20","14","aston-villa","2014","Aly Cissokho 2014","Aly Cissokho","6,00 Mill. €","aston-villa","2014","Left-Back"
"609","Ciaran Clark","25","22","1991","1","15","5","2","17","8","1","21","18","aston-villa","2014","Ciaran Clark 2014","Ciaran Clark","4,00 Mill. €","aston-villa","2014","Centre Back"
"610","Tom Cleverley","31","31","2520","3","23","9","0","32","6","0","28","30","aston-villa","2014","Tom Cleverley 2014","Tom Cleverley","14,00 Mill. €","manchester-united","2014","Central Midfield"
"611","Tom Cleverley","31","31","2520","3","23","9","0","32","6","0","28","30","aston-villa","2014","Tom Cleverley 2014","Tom Cleverley","14,00 Mill. €","aston-villa","2014","Central Midfield"
"612","Joe Cole","12","3","279","1","4","1","1","6","0","0","4","6","aston-villa","2014","Joe Cole 2014","Joe Cole","2,50 Mill. €","aston-villa","2014","Attacking Midfield"
"613","Fabian Delph","28","27","2434","0","42","11","3","25","1","1","15","46","aston-villa","2014","Fabian Delph 2014","Fabian Delph","5,00 Mill. €","aston-villa","2014","Central Midfield"
"614","Carles Gil","5","4","359","0","3","0","1","1","1","0","3","7","aston-villa","2014","Carles Gil 2014","Carles Gil","3,00 Mill. €","aston-villa","2014","Right Wing"
"615","Shay Given","3","3","270","0","0","0","0","0","1","0","0","2","aston-villa","2014","Shay Given 2014","Shay Given","1,00 Mill. €","aston-villa","2014","Keeper"
"616","Jack Grealish","17","7","815","0","13","5","1","4","0","0","6","38","aston-villa","2014","Jack Grealish 2014","Jack Grealish","250 Th. €","aston-villa","2014","Left Wing"
"617","Brad Guzan","34","34","3060","0","0","0","0","0","2","0","1","7","aston-villa","2014","Brad Guzan 2014","Brad Guzan","5,00 Mill. €","aston-villa","2014","Keeper"
"618","Rushian Hepburn-Murphy","1","0","7","0","0","0","0","1","0","0","1","1","aston-villa","2014","Rushian Hepburn-Murphy 2014","Rushian Hepburn-Murphy","-","aston-villa","2014","Centre Forward"
"619","Alan Hutton","30","27","2417","1","12","4","0","18","8","0","19","50","aston-villa","2014","Alan Hutton 2014","Alan Hutton","1,50 Mill. €","aston-villa","2014","Right-Back"
"620","Matthew Lowton","12","8","754","0","3","1","0","10","2","0","8","6","aston-villa","2014","Matthew Lowton 2014","Matthew Lowton","3,00 Mill. €","aston-villa","2014","Right-Back"
"621","Charles N'Zogbia","27","19","1429","0","26","7","2","14","3","0","31","16","aston-villa","2014","Charles N'Zogbia 2014","Charles N'Zogbia","3,00 Mill. €","aston-villa","2014","Right Wing"
"622","Jores Okore","23","22","2009","1","4","2","0","22","6","0","19","34","aston-villa","2014","Jores Okore 2014","Jores Okore","4,50 Mill. €","aston-villa","2014","Centre Back"
"623","Kieran Richardson","22","16","1345","0","9","3","1","12","2","1","13","7","aston-villa","2014","Kieran Richardson 2014","Kieran Richardson","2,50 Mill. €","aston-villa","2014","Left-Back"
"624","Carlos Sánchez","28","20","1985","1","17","5","0","31","6","1","47","12","aston-villa","2014","Carlos Sánchez 2014","Carlos Sánchez","2,50 Mill. €","aston-villa","2014","Defensive Midfield"
"625","Philippe Senderos","8","7","632","0","5","1","0","8","2","0","9","5","aston-villa","2014","Philippe Senderos 2014","Philippe Senderos","2,50 Mill. €","aston-villa","2014","Centre Back"
"626","Scott Sinclair","9","5","461","1","7","3","0","2","0","0","2","6","aston-villa","2014","Scott Sinclair 2014","Scott Sinclair","6,00 Mill. €","manchester-city","2014","Left Wing"
"627","Scott Sinclair","9","5","461","1","7","3","0","2","0","0","2","6","aston-villa","2014","Scott Sinclair 2014","Scott Sinclair","6,00 Mill. €","aston-villa","2014","Left Wing"
"628","Jed Steer","1","1","90","0","0","0","0","0","0","0","0","0","aston-villa","2014","Jed Steer 2014","Jed Steer","1,00 Mill. €","aston-villa","2014","Keeper"
"629","Ron Vlaar","20","19","1646","0","14","2","1","15","3","1","9","3","aston-villa","2014","Ron Vlaar 2014","Ron Vlaar","5,00 Mill. €","aston-villa","2014","Centre Back"
"630","Andreas Weimann","31","20","1777","3","33","12","2","14","5","0","16","14","aston-villa","2014","Andreas Weimann 2014","Andreas Weimann","4,00 Mill. €","aston-villa","2014","Centre Forward"
"631","Ashley Westwood","27","25","2152","0","18","5","1","21","4","0","22","11","aston-villa","2014","Ashley Westwood 2014","Ashley Westwood","3,50 Mill. €","aston-villa","2014","Defensive Midfield"
"632","Toby Alderweireld","26","26","2263","1","18","7","0","14","3","0","12","6","southampton","2014","Toby Alderweireld 2014","Toby Alderweireld","10,00 Mill. €","southampton-fc","2014","Centre Back"
"633","Ryan Bertrand","34","34","3055","2","13","3","2","31","3","1","30","40","southampton","2014","Ryan Bertrand 2014","Ryan Bertrand","6,00 Mill. €","southampton-fc","2014","Left-Back"
"634","Nathaniel Clyne","35","35","3147","2","19","5","0","32","4","0","21","25","southampton","2014","Nathaniel Clyne 2014","Nathaniel Clyne","7,00 Mill. €","southampton-fc","2014","Right-Back"
"635","Jack Cork","12","5","476","2","3","2","0","9","0","0","9","11","southampton","2014","Jack Cork 2014","Jack Cork","3,50 Mill. €","southampton-fc","2014","Defensive Midfield"
"636","Jack Cork","12","5","476","2","3","2","0","9","0","0","9","11","southampton","2014","Jack Cork 2014","Jack Cork","3,50 Mill. €","swansea-city","2014","Defensive Midfield"
"637","Kelvin Davis","7","6","616","0","0","0","0","0","0","0","0","0","southampton","2014","Kelvin Davis 2014","Kelvin Davis","250 Th. €","southampton-fc","2014","Keeper"
"638","Steven Davis","35","32","2648","0","29","5","2","20","3","0","17","15","southampton","2014","Steven Davis 2014","Steven Davis","5,50 Mill. €","southampton-fc","2014","Central Midfield"
"639","Filip Djuricic","9","3","327","0","7","1","0","2","1","0","4","7","southampton","2014","Filip Djuricic 2014","Filip Djuricic","7,00 Mill. €","southampton-fc","2014","Attacking Midfield"
"640","Eljero Elia","16","9","787","2","15","6","0","8","2","0","17","15","southampton","2014","Eljero Elia 2014","Eljero Elia","4,50 Mill. €","southampton-fc","2014","Left Wing"
"641","José Fonte","37","37","3330","0","22","5","1","41","5","0","30","16","southampton","2014","José Fonte 2014","José Fonte","3,50 Mill. €","southampton-fc","2014","Centre Back"
"642","Fraser Forster","30","30","2624","0","0","0","0","0","1","0","0","2","southampton","2014","Fraser Forster 2014","Fraser Forster","4,50 Mill. €","southampton-fc","2014","Keeper"
"643","Dominic Gape","1","0","1","0","0","0","0","0","0","0","0","0","southampton","2014","Dominic Gape 2014","Dominic Gape","-","southampton-fc","2014","Central Midfield"
"644","Florin Gardos","11","5","574","0","0","0","0","10","1","0","7","1","southampton","2014","Florin Gardos 2014","Florin Gardos","4,00 Mill. €","southampton-fc","2014","Centre Back"
"645","Paulo Gazzaniga","2","2","180","0","0","0","0","0","0","0","0","1","southampton","2014","Paulo Gazzaniga 2014","Paulo Gazzaniga","2,00 Mill. €","southampton-fc","2014","Keeper"
"646","Jake Hesketh","2","1","52","0","2","1","0","1","1","0","1","0","southampton","2014","Jake Hesketh 2014","Jake Hesketh","-","southampton-fc","2014","Central Midfield"
"647","Lloyd Isgrove","1","0","8","0","0","0","0","1","0","0","0","1","southampton","2014","Lloyd Isgrove 2014","Lloyd Isgrove","-","southampton-fc","2014","Left Wing"
"648","Shane Long","32","16","1539","5","36","14","5","20","2","0","27","31","southampton","2014","Shane Long 2014","Shane Long","7,00 Mill. €","southampton-fc","2014","Centre Forward"
"649","Sadio Mane","30","24","2135","10","58","26","3","16","5","0","35","75","southampton","2014","Sadio Mane 2014",NA,NA,NA,NA,NA
"650","Emmanuel Mayuka","5","0","49","0","1","0","0","1","0","0","2","0","southampton","2014","Emmanuel Mayuka 2014","Emmanuel Mayuka","2,00 Mill. €","southampton-fc","2014","Centre Forward"
"651","Jason McCarthy","1","0","3","0","0","0","0","0","0","0","0","0","southampton","2014","Jason McCarthy 2014","Jason McCarthy","-","southampton-fc","2014","Centre Back"
"652","Graziano Pelle","38","37","3284","12","122","36","2","35","6","0","70","38","southampton","2014","Graziano Pelle 2014",NA,NA,NA,NA,NA
"653","Gastón Ramírez","1","0","24","0","1","0","0","2","0","0","1","1","southampton","2014","Gastón Ramírez 2014","Gastón Ramírez","7,50 Mill. €","southampton-fc","2014","Attacking Midfield"
"654","Harrison Reed","9","5","460","0","5","2","0","9","0","0","8","12","southampton","2014","Harrison Reed 2014","Harrison Reed","-","southampton-fc","2014","Central Midfield"
"655","Morgan Schneiderlin","26","24","2185","4","32","10","1","51","5","1","46","18","southampton","2014","Morgan Schneiderlin 2014","Morgan Schneiderlin","8,50 Mill. €","southampton-fc","2014","Defensive Midfield"
"656","Ryan Seager","1","0","1","0","0","0","0","0","0","0","0","0","southampton","2014","Ryan Seager 2014","Ryan Seager","-","southampton-fc","2014","Centre Forward"
"657","Dusan Tadic","31","24","2060","4","54","21","8","23","2","0","29","23","southampton","2014","Dusan Tadic 2014","Dusan Tadic","10,00 Mill. €","southampton-fc","2014","Right Wing"
"658","Matthew Targett","6","3","225","0","1","0","0","0","0","0","1","3","southampton","2014","Matthew Targett 2014",NA,NA,NA,NA,NA
"659","Victor Wanyama","32","26","2360","3","27","8","1","63","10","0","67","33","southampton","2014","Victor Wanyama 2014","Victor Wanyama","14,00 Mill. €","southampton-fc","2014","Defensive Midfield"
"660","James Ward-Prowse","25","16","1478","1","30","12","6","12","0","1","19","10","southampton","2014","James Ward-Prowse 2014","James Ward-Prowse","3,50 Mill. €","southampton-fc","2014","Central Midfield"
"661","Maya Yoshida","22","18","1690","1","11","3","1","15","3","0","15","12","southampton","2014","Maya Yoshida 2014","Maya Yoshida","4,50 Mill. €","southampton-fc","2014","Centre Back"
"662","Shola Ameobi","4","0","38","0","1","0","0","0","0","0","1","0","crystal-palace","2014","Shola Ameobi 2014","Shola Ameobi","1,50 Mill. €","crystal-palace","2014","Centre Forward"
"663","Barry Bannan","7","2","136","0","2","1","0","0","1","0","2","0","crystal-palace","2014","Barry Bannan 2014","Barry Bannan","3,00 Mill. €","crystal-palace","2014","Central Midfield"
"664","Yannick Bolasie","34","31","2776","4","68","19","6","45","3","0","47","49","crystal-palace","2014","Yannick Bolasie 2014",NA,NA,NA,NA,NA
"665","Fraizer Campbell","20","13","1175","4","26","9","0","7","5","0","18","23","crystal-palace","2014","Fraizer Campbell 2014","Fraizer Campbell","4,00 Mill. €","crystal-palace","2014","Centre Forward"
"666","Marouane Chamakh","18","15","1156","2","11","5","0","31","4","0","41","29","crystal-palace","2014","Marouane Chamakh 2014","Marouane Chamakh","2,50 Mill. €","crystal-palace","2014","Centre Forward"
"667","Scott Dann","34","34","2922","2","20","4","3","26","6","0","28","9","crystal-palace","2014","Scott Dann 2014","Scott Dann","3,00 Mill. €","crystal-palace","2014","Centre Back"
"668","Damien Delaney","29","28","2434","0","12","3","0","24","6","1","14","11","crystal-palace","2014","Damien Delaney 2014","Damien Delaney","1,00 Mill. €","crystal-palace","2014","Centre Back"
"669","Kevin Doyle","3","0","34","0","0","0","0","1","0","0","2","1","crystal-palace","2014","Kevin Doyle 2014","Kevin Doyle","1,80 Mill. €","crystal-palace","2014","Centre Forward"
"670","Zeki Fryers","1","0","3","0","0","0","0","0","0","0","0","0","crystal-palace","2014","Zeki Fryers 2014","Zeki Fryers","2,50 Mill. €","crystal-palace","2014","Left-Back"
"671","Dwight Gayle","25","11","1090","5","29","10","1","8","1","0","18","24","crystal-palace","2014","Dwight Gayle 2014","Dwight Gayle","4,00 Mill. €","crystal-palace","2014","Centre Forward"
"672","Adlene Guedioura","7","0","122","0","5","1","0","1","1","0","6","5","crystal-palace","2014","Adlene Guedioura 2014",NA,NA,NA,NA,NA
"673","Brede Hangeland","14","12","1173","2","4","3","1","12","2","0","8","5","crystal-palace","2014","Brede Hangeland 2014","Brede Hangeland","3,00 Mill. €","crystal-palace","2014","Centre Back"
"674","Wayne Hennessey","3","2","215","0","0","0","0","0","0","0","0","0","crystal-palace","2014","Wayne Hennessey 2014","Wayne Hennessey","3,00 Mill. €","crystal-palace","2014","Keeper"
"675","Mile Jedinak","24","24","2080","5","31","13","3","50","3","1","44","32","crystal-palace","2014","Mile Jedinak 2014","Mile Jedinak","2,50 Mill. €","crystal-palace","2014","Central Midfield"
"676","Martin Kelly","31","27","2498","0","10","4","1","32","2","0","36","12","crystal-palace","2014","Martin Kelly 2014","Martin Kelly","5,00 Mill. €","crystal-palace","2014","Right-Back"
"677","Joe Ledley","32","30","2572","2","13","3","0","20","0","0","14","24","crystal-palace","2014","Joe Ledley 2014","Joe Ledley","3,50 Mill. €","crystal-palace","2014","Central Midfield"
"678","Chung-Young Lee","3","1","91","0","2","0","0","1","0","0","2","0","crystal-palace","2014","Chung-Young Lee 2014",NA,NA,NA,NA,NA
"679","Adrian Mariappa","12","8","840","0","0","0","0","11","3","0","12","3","crystal-palace","2014","Adrian Mariappa 2014","Adrian Mariappa","2,50 Mill. €","crystal-palace","2014","Right-Back"
"680","James McArthur","32","29","2606","2","32","9","0","50","6","0","43","33","crystal-palace","2014","James McArthur 2014","James McArthur","3,00 Mill. €","crystal-palace","2014","Central Midfield"
"681","Glenn Murray","17","9","866","7","39","18","3","12","3","1","28","28","crystal-palace","2014","Glenn Murray 2014","Glenn Murray","3,50 Mill. €","crystal-palace","2014","Centre Forward"
"682","Jordon Mutch","7","4","332","0","4","0","0","2","2","0","5","1","crystal-palace","2014","Jordon Mutch 2014","Jordon Mutch","3,00 Mill. €","crystal-palace","2014","Central Midfield"
"683","Stuart O'Keefe","2","1","84","0","0","0","0","0","0","0","3","1","crystal-palace","2014","Stuart O'Keefe 2014","Stuart O'Keefe","500 Th. €","crystal-palace","2014","Central Midfield"
"684","Jason Puncheon","37","31","2825","6","64","20","7","39","7","1","49","28","crystal-palace","2014","Jason Puncheon 2014","Jason Puncheon","3,00 Mill. €","crystal-palace","2014","Right Wing"
"685","Yaya Sanogo","10","3","317","0","9","0","0","5","1","0","17","4","crystal-palace","2014","Yaya Sanogo 2014","Yaya Sanogo","2,00 Mill. €","arsenal-fc","2014","Centre Forward"
"686","Yaya Sanogo","10","3","317","0","9","0","0","5","1","0","17","4","crystal-palace","2014","Yaya Sanogo 2014","Yaya Sanogo","2,00 Mill. €","crystal-palace","2014","Centre Forward"
"687","Pape Souaré","9","7","606","0","3","0","0","7","1","0","6","8","crystal-palace","2014","Pape Souaré 2014","Pape Souaré","3,00 Mill. €","crystal-palace","2014","Left-Back"
"688","Julián Speroni","36","36","3205","0","0","0","0","0","1","0","0","1","crystal-palace","2014","Julián Speroni 2014","Julián Speroni","500 Th. €","crystal-palace","2014","Keeper"
"689","Jerome Thomas","1","0","6","0","0","0","0","0","0","0","0","1","crystal-palace","2014","Jerome Thomas 2014","Jerome Thomas","1,50 Mill. €","crystal-palace","2014","Left Wing"
"690","Joel Ward","37","37","3330","1","11","2","0","41","4","0","38","52","crystal-palace","2014","Joel Ward 2014","Joel Ward","2,00 Mill. €","crystal-palace","2014","Right-Back"
"691","Jonathan Williams","2","0","34","0","2","0","0","0","0","0","0","2","crystal-palace","2014","Jonathan Williams 2014","Jonathan Williams","2,00 Mill. €","crystal-palace","2014","Attacking Midfield"
"692","Wilfried Zaha","31","23","1982","4","40","15","2","35","1","0","45","47","crystal-palace","2014","Wilfried Zaha 2014","Wilfried Zaha","8,00 Mill. €","manchester-united","2014","Right Wing"
"693","Wilfried Zaha","31","23","1982","4","40","15","2","35","1","0","45","47","crystal-palace","2014","Wilfried Zaha 2014","Wilfried Zaha","8,00 Mill. €","crystal-palace","2014","Right Wing"
"694","Jordi Amat","10","7","588","0","0","0","0","12","3","0","8","2","swansea-city","2014","Jordi Amat 2014","Jordi Amat","3,00 Mill. €","swansea-city","2014","Centre Back"
"695","Modou Barrow","11","1","277","0","2","0","1","11","1","0","8","13","swansea-city","2014","Modou Barrow 2014","Modou Barrow","100 Th. €","swansea-city","2014","Right Wing"
"696","Kyle Bartley","7","7","630","0","3","1","0","5","2","0","7","9","swansea-city","2014","Kyle Bartley 2014","Kyle Bartley","1,00 Mill. €","swansea-city","2014","Centre Back"
"697","Wilfried Bony","20","16","1302","9","66","26","2","15","2","1","29","36","swansea-city","2014","Wilfried Bony 2014","Wilfried Bony","15,00 Mill. €","manchester-city","2014","Centre Forward"
"698","Wilfried Bony","20","16","1302","9","66","26","2","15","2","1","29","36","swansea-city","2014","Wilfried Bony 2014","Wilfried Bony","15,00 Mill. €","swansea-city","2014","Centre Forward"
"699","Leon Britton","9","7","537","0","0","0","0","9","1","0","5","5","swansea-city","2014","Leon Britton 2014","Leon Britton","3,00 Mill. €","swansea-city","2014","Central Midfield"
"700","Thomas Carroll","13","8","692","0","4","0","0","4","1","0","5","0","swansea-city","2014","Thomas Carroll 2014",NA,NA,NA,NA,NA
"701","Jack Cork","15","15","1325","1","4","3","0","15","1","0","13","29","swansea-city","2014","Jack Cork 2014","Jack Cork","3,50 Mill. €","southampton-fc","2014","Defensive Midfield"
"702","Jack Cork","15","15","1325","1","4","3","0","15","1","0","13","29","swansea-city","2014","Jack Cork 2014","Jack Cork","3,50 Mill. €","swansea-city","2014","Defensive Midfield"
"703","Nathan Dyer","32","23","1868","3","17","9","3","24","2","0","21","37","swansea-city","2014","Nathan Dyer 2014","Nathan Dyer","4,50 Mill. €","swansea-city","2014","Right Wing"
"704","Marvin Emnes","17","3","502","0","13","4","0","10","1","0","11","14","swansea-city","2014","Marvin Emnes 2014","Marvin Emnes","1,50 Mill. €","swansea-city","2014","Centre Forward"
"705","Lukasz Fabianski","37","37","3308","0","0","0","0","0","0","1","1","13","swansea-city","2014","Lukasz Fabianski 2014","Lukasz Fabianski","2,00 Mill. €","swansea-city","2014","Keeper"
"706","Fede Fernández","28","27","2475","0","13","4","0","26","0","0","19","22","swansea-city","2014","Fede Fernández 2014",NA,NA,NA,NA,NA
"707","Jay Fulton","2","1","114","0","0","0","0","1","0","0","1","0","swansea-city","2014","Jay Fulton 2014","Jay Fulton","200 Th. €","swansea-city","2014","Central Midfield"
"708","Bafetimbi Gomis","31","18","1640","7","69","25","0","10","0","0","24","37","swansea-city","2014","Bafetimbi Gomis 2014","Bafetimbi Gomis","10,00 Mill. €","swansea-city","2014","Centre Forward"
"709","Kenji Gorre","1","0","6","0","0","0","0","0","0","0","0","0","swansea-city","2014","Kenji Gorre 2014",NA,NA,NA,NA,NA
"710","Matt Grimes","3","0","42","0","0","0","0","1","0","0","1","0","swansea-city","2014","Matt Grimes 2014","Matt Grimes","-","swansea-city","2014","Central Midfield"
"711","Sung-Yueng Ki","33","30","2690","8","28","13","1","32","4","0","26","46","swansea-city","2014","Sung-Yueng Ki 2014",NA,NA,NA,NA,NA
"712","Jefferson Montero","30","15","1569","1","14","4","7","15","0","0","12","30","swansea-city","2014","Jefferson Montero 2014","Jefferson Montero","3,30 Mill. €","swansea-city","2014","Left Wing"
"713","Kyle Naughton","10","10","858","0","3","1","1","10","1","0","10","12","swansea-city","2014","Kyle Naughton 2014","Kyle Naughton","4,00 Mill. €","tottenham-hotspur","2014","Right-Back"
"714","Kyle Naughton","10","10","858","0","3","1","1","10","1","0","10","12","swansea-city","2014","Kyle Naughton 2014","Kyle Naughton","4,00 Mill. €","swansea-city","2014","Right-Back"
"715","Nelson Oliveira","10","4","389","1","10","3","0","2","0","0","5","8","swansea-city","2014","Nelson Oliveira 2014",NA,NA,NA,NA,NA
"716","Àngel Rangel","27","22","2036","0","5","2","0","24","1","1","28","12","swansea-city","2014","Àngel Rangel 2014",NA,NA,NA,NA,NA
"717","Ashley Jazz Richards","10","7","634","0","0","0","1","9","1","0","7","8","swansea-city","2014","Ashley Jazz Richards 2014",NA,NA,NA,NA,NA
"718","Wayne Routledge","29","27","2316","3","31","7","1","27","1","1","36","31","swansea-city","2014","Wayne Routledge 2014","Wayne Routledge","4,50 Mill. €","swansea-city","2014","Left Wing"
"719","Jonjo Shelvey","31","28","2454","3","61","17","5","34","8","1","35","17","swansea-city","2014","Jonjo Shelvey 2014","Jonjo Shelvey","7,50 Mill. €","swansea-city","2014","Central Midfield"
"720","Gylfi Sigurdsson","32","32","2697","7","70","26","10","11","2","0","23","40","swansea-city","2014","Gylfi Sigurdsson 2014","Gylfi Sigurdsson","8,00 Mill. €","swansea-city","2014","Attacking Midfield"
"721","Neil Taylor","34","34","3000","0","3","0","2","47","9","0","31","28","swansea-city","2014","Neil Taylor 2014","Neil Taylor","3,50 Mill. €","swansea-city","2014","Left-Back"
"722","Dwight Tiendalli","3","1","128","0","0","0","0","1","0","0","3","2","swansea-city","2014","Dwight Tiendalli 2014","Dwight Tiendalli","2,00 Mill. €","swansea-city","2014","Right-Back"
"723","Gerhard Tremmel","2","1","109","0","0","0","0","0","0","0","0","0","swansea-city","2014","Gerhard Tremmel 2014","Gerhard Tremmel","1,00 Mill. €","swansea-city","2014","Keeper"
"724","Ashley Williams","37","37","3330","0","7","1","0","33","6","0","29","13","swansea-city","2014","Ashley Williams 2014","Ashley Williams","8,00 Mill. €","swansea-city","2014","Centre Back"
"725","Victor Anichebe","21","11","1034","3","26","8","0","5","0","0","17","28","west-bromwich-albion","2014","Victor Anichebe 2014","Victor Anichebe","5,00 Mill. €","west-bromwich-albion","2014","Centre Forward"
"726","Chris Baird","19","9","801","0","4","2","0","9","2","0","8","4","west-bromwich-albion","2014","Chris Baird 2014","Chris Baird","700 Th. €","west-bromwich-albion","2014","Right-Back"
"727","Saido Berahino","38","32","2929","14","86","37","1","21","2","0","32","38","west-bromwich-albion","2014","Saido Berahino 2014","Saido Berahino","3,00 Mill. €","west-bromwich-albion","2014","Centre Forward"
"728","Sebastian Blanco","3","0","36","0","2","0","0","0","1","0","1","0","west-bromwich-albion","2014","Sebastian Blanco 2014",NA,NA,NA,NA,NA
"729","Chris Brunt","34","33","2895","2","33","5","9","36","5","0","31","13","west-bromwich-albion","2014","Chris Brunt 2014","Chris Brunt","5,00 Mill. €","west-bromwich-albion","2014","Left-Back"
"730","Jason Davidson","2","1","102","0","0","0","0","4","0","0","1","2","west-bromwich-albion","2014","Jason Davidson 2014","Jason Davidson","400 Th. €","west-bromwich-albion","2014","Left-Back"
"731","Craig Dawson","29","29","2591","2","16","4","0","37","6","0","24","25","west-bromwich-albion","2014","Craig Dawson 2014","Craig Dawson","1,50 Mill. €","west-bromwich-albion","2014","Right-Back"
"732","Graham Dorrans","21","19","1593","1","20","6","3","23","5","0","22","15","west-bromwich-albion","2014","Graham Dorrans 2014","Graham Dorrans","1,50 Mill. €","west-bromwich-albion","2014","Central Midfield"
"733","Darren Fletcher","15","15","1350","1","9","2","0","17","2","0","12","12","west-bromwich-albion","2014","Darren Fletcher 2014","Darren Fletcher","4,00 Mill. €","manchester-united","2014","Central Midfield"
"734","Darren Fletcher","15","15","1350","1","9","2","0","17","2","0","12","12","west-bromwich-albion","2014","Darren Fletcher 2014","Darren Fletcher","4,00 Mill. €","west-bromwich-albion","2014","Central Midfield"
"735","Ben Foster","28","28","2486","0","0","0","0","0","2","0","1","2","west-bromwich-albion","2014","Ben Foster 2014","Ben Foster","4,00 Mill. €","west-bromwich-albion","2014","Keeper"
"736","Cristian Gamboa","10","1","236","0","1","0","1","3","1","0","1","4","west-bromwich-albion","2014","Cristian Gamboa 2014","Cristian Gamboa","1,00 Mill. €","west-bromwich-albion","2014","Right-Back"
"737","Craig Gardner","35","30","2684","3","57","18","4","51","10","0","58","38","west-bromwich-albion","2014","Craig Gardner 2014","Craig Gardner","4,50 Mill. €","west-bromwich-albion","2014","Right Midfield"
"738","Brown Ideye","24","13","1296","4","30","13","2","8","2","0","26","23","west-bromwich-albion","2014","Brown Ideye 2014","Brown Ideye","7,00 Mill. €","west-bromwich-albion","2014","Centre Forward"
"739","Joleon Lescott","34","34","3060","1","14","3","2","25","3","0","25","24","west-bromwich-albion","2014","Joleon Lescott 2014","Joleon Lescott","7,00 Mill. €","west-bromwich-albion","2014","Centre Back"
"740","Gareth McAuley","24","24","2072","1","8","1","0","17","2","1","10","18","west-bromwich-albion","2014","Gareth McAuley 2014","Gareth McAuley","1,00 Mill. €","west-bromwich-albion","2014","Centre Back"
"741","Callum McManaman","8","5","347","0","4","2","1","4","1","0","5","12","west-bromwich-albion","2014","Callum McManaman 2014","Callum McManaman","3,00 Mill. €","west-bromwich-albion","2014","Right Wing"
"742","James Morrison","33","29","2558","2","30","12","1","43","3","0","30","25","west-bromwich-albion","2014","James Morrison 2014","James Morrison","6,00 Mill. €","west-bromwich-albion","2014","Central Midfield"
"743","Youssouf Mulumbu","17","10","902","0","12","2","0","24","1","1","26","22","west-bromwich-albion","2014","Youssouf Mulumbu 2014",NA,NA,NA,NA,NA
"744","Boaz Myhill","11","10","934","0","0","0","0","1","1","0","1","0","west-bromwich-albion","2014","Boaz Myhill 2014","Boaz Myhill","2,00 Mill. €","west-bromwich-albion","2014","Keeper"
"745","Jonas Olsson","13","9","823","1","3","1","0","7","2","0","6","4","west-bromwich-albion","2014","Jonas Olsson 2014","Jonas Olsson","4,00 Mill. €","west-bromwich-albion","2014","Centre Back"
"746","Sebastien Pocognoli","15","15","1214","0","7","2","0","20","1","0","20","10","west-bromwich-albion","2014","Sebastien Pocognoli 2014",NA,NA,NA,NA,NA
"747","Georgios Samaras","5","0","67","0","1","1","0","2","0","0","3","1","west-bromwich-albion","2014","Georgios Samaras 2014","Georgios Samaras","3,00 Mill. €","west-bromwich-albion","2014","Left Wing"
"748","Stephane Sessegnon","28","20","1761","1","29","10","3","14","5","0","15","54","west-bromwich-albion","2014","Stephane Sessegnon 2014",NA,NA,NA,NA,NA
